iter	Passed	Remaining
414	3004	69400
415	3010	69366
416	3016	69322
417	3022	69286
418	3028	69255
419	3035	69227
420	3041	69200
421	3047	69163
422	3053	69128
423	3059	69089
424	3064	69049
425	3070	69002
426	3076	68972
427	3082	68938
428	3088	68915
429	3094	68877
430	3100	68830
431	3106	68800
432	3112	68778
433	3120	68784
434	3127	68772
435	3133	68739
436	3139	68711
437	3146	68688
438	3152	68660
439	3161	68689
440	3167	68651
441	3173	68631
442	3180	68603
443	3186	68578
444	3192	68555
445	3199	68542
446	3205	68515
447	3212	68489
448	3217	68444
449	3223	68416
450	3229	68385
451	3236	68357
452	3241	68323
453	3247	68281
454	3253	68252
455	3259	68229
456	3266	68213
457	3273	68196
458	3279	68168
459	3286	68150
460	3292	68117
461	3298	68087
462	3303	68052
463	3309	68023
464	3316	68002
465	3321	67955
466	3327	67931
467	3336	67956
468	3342	67924
469	3348	67888
470	3354	67861
471	3359	67823
472	3366	67799
473	3372	67773
474	3378	67750
475	3384	67725
476	3391	67699
477	3396	67665
478	3402	67636
479	3409	67612
480	3414	67567
481	3420	67545
482	3426	67520
483	3432	67493
484	3439	67475
485	3445	67455
486	3452	67447
487	3459	67426
488	3465	67399
489	3471	67379
490	3477	67354
491	3484	67338
492	3489	67291
493	3496	67273
494	3501	67240
495	3508	67219
496	3514	67196
497	3520	67167
498	3525	67130
499	3531	67103
500	3537	67070
501	3544	67054
502	3550	67038
503	3556	67008
504	3562	66990
505	3569	66971
506	3576	66959
507	3582	66936
508	3588	66917
509	3595	66903
510	3601	66871
511	3607	66859
512	3614	66844
513	3621	66834
514	3627	66811
515	3634	66792
516	3640	66780
517	3646	66751
518	3652	66722
519	3657	66682
520	3663	66652
521	3671	66655
522	3678	66652
523	3684	66627
524	3690	66607
525	3696	66576
526	3702	66554
527	3708	66529
528	3714	66510
529	3720	66482
530	3726	66455
531	3733	66438
532	3738	66406
533	3745	66387
534	3751	66365
535	3757	66343
536	3763	66312
537	3769	66293
538	3775	66271
539	3782	66257
540	3787	66225
541	3793	66202
542	3800	66182
543	3805	66156
544	3811	66132
545	3818	66110
546	3824	66092
547	3831	66079
548	3837	66063
549	3843	66035
550	3849	66020
551	3856	66001
552	3861	65973
553	3868	65958
554	3874	65940
555	3880	65918
556	3887	65899
557	3892	65869
558	3898	65844
559	3904	65820
560	3910	65801
561	3916	65777
562	3922	65756
563	3929	65743
564	3935	65723
565	3941	65703
566	3947	65680
567	3953	65649
568	3959	65633
569	3966	65622
570	3972	65601
571	3978	65580
572	3985	65566
573	3991	65545
574	3997	65532
575	4004	65517
576	4010	65501
577	4016	65474
578	4022	65454
579	4029	65441
580	4035	65426
581	4042	65415
582	4048	65387
583	4054	65379
584	4061	65366
585	4068	65354
586	4074	65342
587	4080	65322
588	4088	65318
589	4096	65339
590	4103	65329
591	4109	65315
592	4115	65289
593	4122	65280
594	4128	65260
595	4135	65248
596	4141	65232
597	4148	65226
598	4155	65212
599	4160	65186
600	4167	65182
601	4174	65168
602	4180	65153
603	4187	65134
604	4193	65124
605	4200	65115
606	4207	65105
607	4213	65094
608	4220	65082
609	4226	65063
610	4232	65044
611	4239	65032
612	4246	65022
613	4251	64995
614	4258	64982
615	4264	64968
616	4271	64951
617	4277	64940
618	4284	64926
619	4289	64899
620	4296	64885
621	4302	64866
622	4309	64864
623	4316	64852
624	4323	64849
625	4331	64865
626	4338	64855
627	4344	64841
628	4351	64833
629	4357	64809
630	4364	64798
631	4372	64818
632	4379	64808
633	4385	64792
634	4391	64768
635	4398	64755
636	4403	64729
637	4410	64722
638	4416	64702
639	4423	64689
640	4429	64674
641	4436	64664
642	4442	64643
643	4448	64625
644	4454	64613
645	4460	64592
646	4467	64579
647	4473	64564
648	4480	64551
649	4487	64548
650	4493	64534
651	4500	64524
652	4506	64510
653	4513	64498
654	4519	64481
655	4525	64465
656	4532	64452
657	4539	64443
658	4545	64431
659	4552	64419
660	4558	64406
661	4565	64396
662	4571	64380
663	4578	64372
664	4584	64361
665	4591	64346
666	4597	64335
667	4603	64316
668	4610	64299
669	4616	64290
670	4623	64280
671	4630	64269
672	4636	64261
673	4643	64246
674	4648	64218
675	4656	64225
676	4663	64225
677	4670	64216
678	4676	64201
679	4683	64191
680	4690	64180
681	4696	64164
682	4702	64154
683	4709	64140
684	4715	64127
685	4722	64119
686	4729	64108
687	4735	64096
688	4742	64086
689	4749	64079
690	4754	64052
691	4761	64045
692	4767	64031
693	4774	64016
694	4780	64001
695	4786	63986
696	4792	63965
697	4799	63954
698	4805	63944
699	4810	63917
700	4817	63900
701	4823	63887
702	4829	63865
703	4835	63851
704	4842	63840
705	4848	63820
706	4853	63801
707	4860	63789
708	4866	63769
709	4872	63756
710	4879	63742
711	4885	63730
712	4891	63716
713	4898	63704
714	4904	63692
715	4911	63679
716	4917	63663
717	4923	63654
718	4930	63638
719	4936	63620
720	4942	63608
721	4948	63589
722	4955	63582
723	4961	63573
724	4968	63564
725	4975	63553
726	4981	63541
727	4988	63529
728	4993	63504
729	4999	63490
730	5006	63479
731	5012	63465
732	5018	63444
733	5024	63431
734	5030	63410
735	5036	63397
736	5043	63385
737	5049	63375
738	5057	63380
739	5063	63365
740	5070	63356
741	5076	63343
742	5083	63331
743	5088	63311
744	5095	63300
